,ae,UM,BL,Ensemble
0,"espof0.1,",0.6581153418846581,0.021714978285021714,0.012927987072012929
1,"espof0.2,",0.9877790122209877,0.059993940006059995,0.06766993233006767
2,"espof0.3,",0.9902030097969902,0.17624482375517625,0.29471770528229474
3,"espof0.4,",0.9902030097969902,0.39995960004039993,0.6278153721846278
4,"espof0.5,",0.9902030097969902,0.6905363094636905,0.8112311887688113
5,"espof0.6,",0.9902030097969902,0.8816281183718816,0.8785981214018787
6,"espof0.7,",0.9902030097969902,0.9555600444399556,0.9026360973639026
7,"espof0.8,",0.9902030097969902,0.9806080193919806,0.9112210887789112
8,"espof0.9,",0.9902030097969902,0.9855570144429856,0.910918089081911
9,"espof1,",0.9902030097969902,0.9885870114129885,0.914049085950914
10,"maxiter10,",0.9902030097969902,0.17624482375517625,0.29471770528229474
11,"maxiter12,",0.9902030097969902,0.2214927785072215,0.3830926169073831
12,"maxiter14,",0.9902030097969902,0.2527017472982527,0.4437935562064438
13,"maxiter16,",0.9902030097969902,0.2734067265932734,0.48793051206948795
14,"maxiter18,",0.9902030097969902,0.286031713968286,0.5135844864155136
15,"maxiter20,",0.9902030097969902,0.30057569942430057,0.5351984648015352
16,"maxiter22,",0.9902030097969902,0.30895869104130896,0.5528734471265528
17,"maxiter24,",0.9902030097969902,0.3152206847793152,0.5673164326835674
18,"maxiter26,",0.9902030097969902,0.3223916776083224,0.5793354206645793
19,"maxiter28,",0.9902030097969902,0.3252196747803252,0.5871124128875871
20,"maxiter30,",0.9902030097969902,0.32925967074032925,0.5919604080395919
21,"fgespof0.1,",0.25148974851025147,0.020704979295020704,0.011311988688011311
22,"fgespof0.2,",0.711948288051712,0.06251893748106252,0.07635592364407635
23,"fgespof0.3,",0.8842541157458843,0.21331178668821332,0.6725583274416725
24,"fgespof0.4,",0.9195030804969195,0.6659933340066659,0.8881931118068882
25,"fgespof0.5,",0.9092010907989092,0.8657711342288658,0.893950106049894
26,"fgespof0.6,",0.9027370972629027,0.8856681143318856,0.893950106049894
27,"fgespof0.7,",0.9024340975659024,0.8817291182708817,0.893950106049894
28,"fgespof0.8,",0.9006160993839006,0.8758711241288759,0.893950106049894
29,"fgespof0.9,",0.9008180991819008,0.872033127966872,0.893950106049894
30,"fgespof1,",0.9022320977679023,0.872942127057873,0.893950106049894
