,Unnamed: 0,ae_type,label,accuracy,loss,simpName
0,0,benign,benign,0.9603413939476012,0.13584913313388824,benign
47,47,aes_task1,espof0.1,0.9437751173973083,0.19103671610355374,espof0.1
48,48,aes_task1,espof0.2,0.91566264629364,0.30714771151542664,espof0.2
49,49,aes_task1,espof0.3,0.858433723449707,0.5308283567428589,espof0.3
50,50,aes_task1,espof0.4,0.7570281028747559,0.8912511467933655,espof0.4
51,51,aes_task1,espof0.5,0.6450803279876709,1.3808971643447876,espof0.5
52,52,aes_task1,espof0.6,0.5451807379722595,1.9678022861480715,espof0.6
53,53,aes_task1,espof0.7,0.4759036004543304,2.6139535903930664,espof0.7
54,54,aes_task1,espof0.8,0.4277108311653137,3.1419544219970703,espof0.8
55,55,aes_task1,espof0.9,0.3785140514373779,3.670265197753906,espof0.9
56,56,aes_task1,espof1,0.34036144614219666,4.145930290222168,espof1
57,57,aes_task1,maxiter10,0.858433723449707,0.5308283567428589,maxiter10
58,58,aes_task1,maxiter12,0.8293172717094421,0.6426061391830444,maxiter12
59,59,aes_task1,maxiter14,0.7991967797279358,0.7343697547912598,maxiter14
60,60,aes_task1,maxiter16,0.7806224822998047,0.8082554340362549,maxiter16
61,61,aes_task1,maxiter18,0.7645582556724548,0.8722789287567139,maxiter18
62,62,aes_task1,maxiter20,0.7520080208778381,0.9214176535606384,maxiter20
63,63,aes_task1,maxiter22,0.7359437942504883,0.9662289023399352,maxiter22
64,64,aes_task1,maxiter24,0.7269076108932495,0.9929341673851012,maxiter24
65,65,aes_task1,maxiter26,0.7183734774589539,1.0238574743270874,maxiter26
66,66,aes_task1,maxiter28,0.7178714871406555,1.0432506799697876,maxiter28
67,67,aes_task1,maxiter30,0.7133533954620361,1.0602948665618896,maxiter30
